180302-05:00:47 login login successful 
180302-06:42:36 direct_request ori:(u'::1', 48432), dest:(u'31.13.80.12', 443) 
180302-06:42:36 direct_request ori:(u'::1', 37561), dest:(u'31.13.80.12', 443) 
180302-06:42:39 direct_request ori:(u'::1', 19355), dest:(u'31.13.80.36', 443) 
180302-06:42:39 direct_request ori:(u'::1', 26760), dest:(u'31.13.80.36', 443) 
180302-06:42:40 direct_request ori:(u'::1', 43161), dest:(u'31.13.80.36', 443) 
180302-06:42:42 direct_request ori:(u'::1', 27582), dest:(u'31.13.80.12', 443) 
180302-06:42:42 direct_request ori:(u'::1', 32825), dest:(u'31.13.80.36', 443) 
180302-06:42:42 direct_request ori:(u'::1', 39094), dest:(u'31.13.80.12', 443) 
180302-06:42:43 direct_request ori:(u'::1', 30225), dest:(u'31.13.80.12', 443) 
180302-06:42:46 direct_request ori:(u'::1', 45344), dest:(u'31.13.80.12', 443) 
180302-06:42:46 direct_request ori:(u'::1', 17892), dest:(u'31.13.80.36', 443) 
180302-06:42:46 direct_request ori:(u'::1', 28572), dest:(u'31.13.80.2', 443) 
180302-06:42:46 direct_request ori:(u'::1', 20651), dest:(u'172.217.13.66', 443) 
180302-06:42:48 direct_request ori:(u'::1', 13164), dest:(u'216.58.218.228', 443) 
180302-06:42:51 direct_request ori:(u'::1', 44023), dest:(u'31.13.80.36', 443) 
180302-06:43:04 direct_request ori:(u'::1', 36048), dest:(u'31.13.80.12', 443) 
